City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Marienburg,PL,54.0359,19.0266,28.0,87,70,4.0,broken clouds
295,Kahului,US,20.8947,-156.47,80.6,54,40,19.57,light rain
296,Aguimes,ES,27.9054,-15.4461,64.4,63,90,12.66,overcast clouds
297,Makakilo City,US,21.3469,-158.0858,80.6,50,1,10.36,clear sky
298,Harqalah,TN,36.0303,10.509,59.0,88,75,11.5,broken clouds
299,Nurota,UZ,40.5614,65.6886,37.4,93,100,9.22,mist
300,Rawson,AR,-43.3002,-65.1023,61.66,36,0,23.24,clear sky
301,Awjilah,LY,29.1081,21.2869,57.36,38,0,3.42,clear sky
302,Tura,IN,25.5198,90.2201,80.58,30,0,1.59,clear sky
303,Evensk,RU,61.95,159.2333,-14.62,78,7,3.47,clear sky
304,Casablanca,MA,33.5928,-7.6192,60.01,93,75,2.3,mist
305,Tilichiki,RU,60.4667,166.1,-14.84,82,6,17.69,clear sky
306,Port Hardy,CA,50.6996,-127.4199,41.0,81,75,5.75,broken clouds
307,Causapscal,CA,48.3542,-67.227,8.44,94,79,4.29,broken clouds
308,Atar,MR,20.5169,-13.0499,61.9,35,0,10.45,clear sky
309,Hammerfest,NO,70.6634,23.6821,23.0,63,20,3.44,light snow
310,Acajutla,SV,13.5928,-89.8275,79.2,70,0,7.31,clear sky
311,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.54,95,100,4.65,overcast clouds
312,Shenjiamen,CN,29.9576,122.298,51.49,80,73,11.34,broken clouds
313,Bilibino,RU,68.0546,166.4372,-20.0,83,100,4.21,light snow
314,Hanko,FI,59.8333,22.95,24.01,53,38,3.0,scattered clouds
315,Shingu,JP,33.7333,135.9833,51.8,93,75,10.36,broken clouds
316,Tiznit,MA,29.5833,-9.5,52.38,92,84,6.26,broken clouds
317,Langsa,ID,4.4683,97.9683,88.02,59,90,1.1,overcast clouds
318,Bubaque,GW,11.2833,-15.8333,75.02,74,0,16.78,clear sky
319,Longyearbyen,SJ,78.2186,15.6401,10.4,61,20,14.97,few clouds
320,Murgab,TM,37.4966,61.9714,39.2,87,0,11.03,clear sky
321,Manama,BH,26.2154,50.5832,62.6,63,0,5.75,clear sky
322,Norman Wells,CA,65.282,-126.8329,-2.2,71,75,14.97,broken clouds
323,Abha,SA,18.2164,42.5053,55.4,54,0,0.78,clear sky
324,Altona,DE,53.55,9.9333,30.2,80,72,4.61,broken clouds
325,Leh,IN,34.1667,77.5833,19.53,84,94,2.46,overcast clouds
326,Berbera,SO,10.4396,45.0143,73.74,72,70,3.06,broken clouds
327,Yambio,SS,4.5721,28.3955,71.24,78,100,7.83,overcast clouds
328,Itabera,BR,-23.8619,-49.1372,64.02,95,96,5.64,overcast clouds
329,Udachnyy,RU,66.4167,112.4,5.92,91,99,4.94,overcast clouds
330,Parkent,UZ,41.2944,69.6764,42.8,93,100,4.61,light rain
331,Khani,GE,41.9563,42.9566,35.6,100,90,4.61,overcast clouds
332,Port Lincoln,AU,-34.7333,135.8667,66.6,62,39,15.57,scattered clouds
333,Fairlie,GB,55.756,-4.8556,46.0,92,100,3.0,overcast clouds
334,Cotonou,BJ,6.3654,2.4183,84.2,84,40,14.97,scattered clouds
335,Coruripe,BR,-10.1256,-36.1756,77.27,83,54,11.41,broken clouds
336,Maridi,SS,4.9158,29.4742,74.44,52,100,11.86,overcast clouds
337,Ahipara,NZ,-35.1667,173.1667,66.9,60,49,13.29,scattered clouds
338,Pangnirtung,CA,66.1451,-65.7125,-3.75,79,0,0.74,clear sky
339,Samaipata,BO,-18.15,-63.8667,54.32,100,1,2.17,clear sky
340,Vila Velha,BR,-20.3297,-40.2925,71.6,100,75,2.3,broken clouds
341,Phan Thiet,VN,10.9333,108.1,87.13,46,0,9.89,clear sky
342,Borgarnes,IS,64.5383,-21.9206,42.8,75,75,19.57,light intensity drizzle
343,Goma,CD,-1.6792,29.2228,62.26,81,80,2.71,broken clouds
344,Vila,PT,42.0304,-8.1588,42.01,84,51,11.99,broken clouds
345,Inuvik,CA,68.3499,-133.7218,-7.6,71,44,4.61,scattered clouds
346,Fraga,ES,41.5229,0.3489,48.0,100,40,4.61,scattered clouds
347,Kinablangan,PH,7.6947,126.5503,83.57,64,24,6.44,few clouds
